date,product_id,stock_on_hand
2023-01-01,PROD_0001,74
2023-01-01,PROD_0002,20
2023-01-01,PROD_0003,56
2023-01-01,PROD_0004,34
2023-01-01,PROD_0005,50
2023-01-01,PROD_0006,40
2023-01-01,PROD_0007,43
2023-01-01,PROD_0008,74
2023-01-01,PROD_0009,89
2023-01-01,PROD_0010,16
2023-01-01,PROD_0011,98
2023-01-01,PROD_0012,43
2023-01-01,PROD_0013,19
2023-01-01,PROD_0014,90
2023-01-01,PROD_0015,49
2023-01-01,PROD_0016,75
2023-01-01,PROD_0017,13
2023-01-01,PROD_0018,10
2023-01-01,PROD_0019,58
2023-01-01,PROD_0020,89
2023-01-01,PROD_0021,25
2023-01-01,PROD_0022,70
2023-01-01,PROD_0023,41
2023-01-01,PROD_0024,84
2023-01-01,PROD_0025,70
2023-01-01,PROD_0026,95
2023-01-01,PROD_0027,85
2023-01-01,PROD_0028,52
2023-01-01,PROD_0029,50
2023-01-01,PROD_0030,18
2023-01-01,PROD_0031,60
2023-01-01,PROD_0032,30
2023-01-01,PROD_0033,96
2023-01-01,PROD_0034,69
2023-01-01,PROD_0035,9
2023-01-01,PROD_0036,45
2023-01-01,PROD_0037,86
2023-01-01,PROD_0038,10
2023-01-01,PROD_0039,100
2023-01-01,PROD_0040,25
2023-01-01,PROD_0041,11
2023-01-01,PROD_0042,0
2023-01-01,PROD_0043,0
2023-01-01,PROD_0044,60
2023-01-01,PROD_0045,7
2023-01-01,PROD_0046,21
2023-01-01,PROD_0047,98
2023-01-01,PROD_0048,0
2023-01-01,PROD_0049,68
2023-01-01,PROD_0050,61
2023-01-02,PROD_0001,91
2023-01-02,PROD_0002,0
2023-01-02,PROD_0003,49
2023-01-02,PROD_0004,73
2023-01-02,PROD_0005,16
2023-01-02,PROD_0006,36
2023-01-02,PROD_0007,25
2023-01-02,PROD_0008,38
2023-01-02,PROD_0009,56
2023-01-02,PROD_0010,41
2023-01-02,PROD_0011,18
2023-01-02,PROD_0012,81
2023-01-02,PROD_0013,89
2023-01-02,PROD_0014,96
2023-01-02,PROD_0015,24
2023-01-02,PROD_0016,58
2023-01-02,PROD_0017,74
2023-01-02,PROD_0018,75
2023-01-02,PROD_0019,38
2023-01-02,PROD_0020,0
2023-01-02,PROD_0021,73
2023-01-02,PROD_0022,85
2023-01-02,PROD_0023,85
2023-01-02,PROD_0024,82
2023-01-02,PROD_0025,49
2023-01-02,PROD_0026,72
2023-01-02,PROD_0027,79
2023-01-02,PROD_0028,86
2023-01-02,PROD_0029,0
2023-01-02,PROD_0030,70
2023-01-02,PROD_0031,42
2023-01-02,PROD_0032,14
2023-01-02,PROD_0033,0
2023-01-02,PROD_0034,13
2023-01-02,PROD_0035,100
2023-01-02,PROD_0036,3
2023-01-02,PROD_0037,99
2023-01-02,PROD_0038,72
2023-01-02,PROD_0039,93
2023-01-02,PROD_0040,97
2023-01-02,PROD_0041,24
2023-01-02,PROD_0042,34
2023-01-02,PROD_0043,27
2023-01-02,PROD_0044,85
2023-01-02,PROD_0045,61
2023-01-02,PROD_0046,26
2023-01-02,PROD_0047,35
2023-01-02,PROD_0048,12
2023-01-02,PROD_0049,72
2023-01-02,PROD_0050,88
2023-01-03,PROD_0001,93
2023-01-03,PROD_0002,9
2023-01-03,PROD_0003,63
2023-01-03,PROD_0004,4
2023-01-03,PROD_0005,32
2023-01-03,PROD_0006,11
2023-01-03,PROD_0007,1
2023-01-03,PROD_0008,74
2023-01-03,PROD_0009,75
2023-01-03,PROD_0010,10
2023-01-03,PROD_0011,6
2023-01-03,PROD_0012,83
2023-01-03,PROD_0013,20
2023-01-03,PROD_0014,4
2023-01-03,PROD_0015,71
2023-01-03,PROD_0016,53
2023-01-03,PROD_0017,15
2023-01-03,PROD_0018,69
2023-01-03,PROD_0019,95
2023-01-03,PROD_0020,79
2023-01-03,PROD_0021,31
2023-01-03,PROD_0022,15
2023-01-03,PROD_0023,98
2023-01-03,PROD_0024,64
2023-01-03,PROD_0025,42
2023-01-03,PROD_0026,33
2023-01-03,PROD_0027,7
2023-01-03,PROD_0028,25
2023-01-03,PROD_0029,7
2023-01-03,PROD_0030,72
2023-01-03,PROD_0031,12
2023-01-03,PROD_0032,75
2023-01-03,PROD_0033,69
2023-01-03,PROD_0034,10
2023-01-03,PROD_0035,61
2023-01-03,PROD_0036,89
2023-01-03,PROD_0037,63
2023-01-03,PROD_0038,17
2023-01-03,PROD_0039,12
2023-01-03,PROD_0040,39
2023-01-03,PROD_0041,2
2023-01-03,PROD_0042,38
2023-01-03,PROD_0043,85
2023-01-03,PROD_0044,20
2023-01-03,PROD_0045,66
2023-01-03,PROD_0046,83
2023-01-03,PROD_0047,11
2023-01-03,PROD_0048,68
2023-01-03,PROD_0049,80
2023-01-03,PROD_0050,17
2023-01-04,PROD_0001,89
2023-01-04,PROD_0002,77
2023-01-04,PROD_0003,55
2023-01-04,PROD_0004,65
2023-01-04,PROD_0005,48
2023-01-04,PROD_0006,54
2023-01-04,PROD_0007,9
2023-01-04,PROD_0008,100
2023-01-04,PROD_0009,4
2023-01-04,PROD_0010,63
2023-01-04,PROD_0011,14
2023-01-04,PROD_0012,48
2023-01-04,PROD_0013,73
2023-01-04,PROD_0014,21
2023-01-04,PROD_0015,19
2023-01-04,PROD_0016,36
2023-01-04,PROD_0017,9
2023-01-04,PROD_0018,10
2023-01-04,PROD_0019,27
2023-01-04,PROD_0020,52
2023-01-04,PROD_0021,55
2023-01-04,PROD_0022,23
2023-01-04,PROD_0023,52
2023-01-04,PROD_0024,44
2023-01-04,PROD_0025,41
2023-01-04,PROD_0026,83
2023-01-04,PROD_0027,39
2023-01-04,PROD_0028,0
2023-01-04,PROD_0029,46
2023-01-04,PROD_0030,92
2023-01-04,PROD_0031,90
2023-01-04,PROD_0032,69
2023-01-04,PROD_0033,78
2023-01-04,PROD_0034,67
2023-01-04,PROD_0035,45
2023-01-04,PROD_0036,77
2023-01-04,PROD_0037,72
2023-01-04,PROD_0038,76
2023-01-04,PROD_0039,7
2023-01-04,PROD_0040,0
2023-01-04,PROD_0041,80
2023-01-04,PROD_0042,43
2023-01-04,PROD_0043,44
2023-01-04,PROD_0044,51
2023-01-04,PROD_0045,46
2023-01-04,PROD_0046,37
2023-01-04,PROD_0047,23
2023-01-04,PROD_0048,92
2023-01-04,PROD_0049,19
2023-01-04,PROD_0050,17
2023-01-05,PROD_0001,46
2023-01-05,PROD_0002,3
2023-01-05,PROD_0003,1
2023-01-05,PROD_0004,84
2023-01-05,PROD_0005,0
2023-01-05,PROD_0006,83
2023-01-05,PROD_0007,14
2023-01-05,PROD_0008,0
2023-01-05,PROD_0009,48
2023-01-05,PROD_0010,53
2023-01-05,PROD_0011,33
2023-01-05,PROD_0012,0
2023-01-05,PROD_0013,56
2023-01-05,PROD_0014,13
2023-01-05,PROD_0015,0
2023-01-05,PROD_0016,52
2023-01-05,PROD_0017,76
2023-01-05,PROD_0018,34
2023-01-05,PROD_0019,97
2023-01-05,PROD_0020,17
2023-01-05,PROD_0021,0
2023-01-05,PROD_0022,21
2023-01-05,PROD_0023,92
2023-01-05,PROD_0024,44
2023-01-05,PROD_0025,84
2023-01-05,PROD_0026,29
2023-01-05,PROD_0027,18
2023-01-05,PROD_0028,71
2023-01-05,PROD_0029,1
2023-01-05,PROD_0030,60
2023-01-05,PROD_0031,19
2023-01-05,PROD_0032,45
2023-01-05,PROD_0033,75
2023-01-05,PROD_0034,4
2023-01-05,PROD_0035,0
2023-01-05,PROD_0036,92
2023-01-05,PROD_0037,34
