transaction_id,date,product_id,quantity,total_amount,product_name,category,cost_price,selling_price,supplier_id,supplier_name,lead_time_days,year,month,week,day_of_week,is_weekend,revenue,profit
3eabedcb-baa8-4dd4-88bd-64072bcfbe01,2023-01-01,PROD_0042,1,703.8,Toys - Religious,Toys,450.81,703.8,SUP_004,Davis and Sons,14,2023,1,52,6,1,703.8,252.98999999999995
a013ac6e-deda-4e16-9b3d-bd5ce9a1fa6f,2023-01-01,PROD_0038,4,460.84,Home Appliances - Commercial,Home Appliances,72.91,115.21,SUP_009,Garcia-James,14,2023,1,52,6,1,460.84,169.2
81f631d4-a392-41a7-9777-a4774c66e0a8,2023-01-01,PROD_0033,5,1284.2,Home Appliances - Fall,Home Appliances,193.22,256.84,SUP_009,Garcia-James,14,2023,1,52,6,1,1284.1999999999998,318.0999999999998
5fb8d16c-2720-497d-b2eb-d6899be578c7,2023-01-01,PROD_0011,1,130.86,Books - Finally,Books,104.22,130.86,SUP_004,Davis and Sons,14,2023,1,52,6,1,130.86,26.640000000000015
f4188f3f-8a14-4e62-a95b-4715c333e861,2023-01-01,PROD_0033,1,256.84,Home Appliances - Fall,Home Appliances,193.22,256.84,SUP_009,Garcia-James,14,2023,1,52,6,1,256.84,63.619999999999976
eb2263dd-87c5-421e-ac24-a3c5c754108f,2023-01-01,PROD_0012,1,928.49,Clothing - Themselves,Clothing,492.76,928.49,SUP_002,Doyle Ltd,4,2023,1,52,6,1,928.49,435.73
7d154385-52fb-443b-9954-6eb400257ad1,2023-01-01,PROD_0039,1,265.48,Home Appliances - Hospital,Home Appliances,139.88,265.48,SUP_007,Blake and Sons,6,2023,1,52,6,1,265.48,125.60000000000002
ce88cb2d-d4e8-4839-bc3e-058be0f3eab0,2023-01-01,PROD_0026,1,61.91,Books - Figure,Books,41.13,61.91,SUP_008,"Henderson, Ramirez and Lewis",5,2023,1,52,6,1,61.91,20.779999999999994
3da9c2a9-0ed4-4f1a-bd4c-bf374eb93eff,2023-01-01,PROD_0037,2,1366.0,Electronics - His,Electronics,368.63,683.0,SUP_009,Garcia-James,14,2023,1,52,6,1,1366.0,628.74
14296c07-f26b-4776-913e-4de2e0c53cb8,2023-01-01,PROD_0038,5,576.05,Home Appliances - Commercial,Home Appliances,72.91,115.21,SUP_009,Garcia-James,14,2023,1,52,6,1,576.05,211.5
d0e6e660-7c69-4ee1-bb5e-4bcf15ed6269,2023-01-01,PROD_0003,5,923.85,Books - Show,Books,107.43,184.77,SUP_009,Garcia-James,14,2023,1,52,6,1,923.85,386.69999999999993
885f6e66-c2b6-42c5-ba5d-310011b7e948,2023-01-01,PROD_0006,4,2815.32,Home Appliances - Capital,Home Appliances,479.03,703.83,SUP_002,Doyle Ltd,4,2023,1,52,6,1,2815.32,899.2000000000003
a8e56e0c-20de-435d-a031-d750c40db9b4,2023-01-01,PROD_0043,5,251.7,Home Appliances - Example,Home Appliances,41.37,50.34,SUP_009,Garcia-James,14,2023,1,52,6,1,251.70000000000002,44.85000000000002
2a45c2ab-8cbf-4db0-b264-accc79ac1b1e,2023-01-01,PROD_0037,5,3415.0,Electronics - His,Electronics,368.63,683.0,SUP_009,Garcia-James,14,2023,1,52,6,1,3415.0,1571.85
9b49bd26-df57-459a-8715-a10343dac043,2023-01-01,PROD_0021,3,585.99,Home Appliances - Available,Home Appliances,139.79,195.33,SUP_009,Garcia-James,14,2023,1,52,6,1,585.99,166.62
